"Fish_Date","Capture Method","Fish_Num","Length","Body_Weight","Gonad_Weight","Condition","Sex","Scaled","Stomach_Wt","Age","Tubercles","Comments"
"2010-09-02 00:00:00","EF",1,243,112,0.2,"I","F","Y",0,3,,"Narrow skein"
"2010-09-02 00:00:00","EF",2,290,322,22,"B","M","Y",0,6,,
"2010-09-02 00:00:00","EF",3,245,174,9.9,"B","M","Y",0,4,,
"2010-09-02 00:00:00","EF",4,310,303,24.2,"B","F","Y",0,6,,
"2010-09-02 00:00:00","EF",5,295,308,21,"B","M","Y",0,5,,
"2010-09-02 00:00:00","EF",6,263,216,13.8,"B","F","Y",0,4,,"AMEC photo"
"2010-09-02 00:00:00","EF",7,289,309,25.2,"B","M","Y",0,5,,"All scales regen, guessed at age"
"2010-09-02 00:00:00","EF",8,325,333,23.2,"B","F","Y",0,5,,
"2010-09-02 00:00:00","EF",9,250,159,7.3,"B","F","Y",0,3,,
"2010-09-02 00:00:00","EF",10,245,197,12.9,"B","F","Y",0,5,,
"2010-09-02 00:00:00","EF",11,302,358,20.4,"B","F","Y",0,6,,"Orig thought to be hermaphrodite. Photo taken and fat/testes weighed at 8.59"
"2010-09-02 00:00:00","EF",12,234,148,1.2,"I","M","Y",0,3,,
"2010-09-02 00:00:00","EF",13,246,146,0.3,"I","F","Y",0,3,,
"2010-09-02 00:00:00","EF",14,287,249,12.4,"B","M","Y",0,4,,"photo AMEC"
"2010-09-02 00:00:00","EF",15,275,275,30.2,"B","M","Y",0,4,,
"2010-09-02 00:00:00","EF",16,260,200,13.2,"B","M","Y",0,4,,
"2010-09-02 00:00:00","EF",17,223,123,0,"I","U","Y",0,3,,"unknown sex"
"2010-09-02 00:00:00","EF",18,315,307,13.5,"B","F","Y",0,5,,
"2010-09-02 00:00:00","EF",19,213,105,0,"I","U","Y",0,3,,"detection limit for gonad weight"
"2010-09-02 00:00:00","EF",20,222,119,0,"I","M","Y",0,3,,"detection limit for gonad weight"
"2010-10-30 00:00:00","AG",1,231,228.5,31.8,"B","F","Y",2.5,4,,"Photo of gonads taken, 2.5 g of stomach weight subtracted from 231 total weight"
"2010-11-09 00:00:00","AG",1,293,288,24.5,"B","M","Y",0,4,,"Not too clear by nucleus (aging)"
"2010-11-09 00:00:00","AG",2,256,162,4.6,"I","M","Y",0,3,,
"2010-11-09 00:00:00","AG",3,299,295,45.5,"B","F","Y",1.6,4,,"one half of ovary was still skeined, the other half loose."
"2010-11-09 00:00:00","AG",4,304,322,21.7,"B","M","Y",0,5,,
"2010-11-09 00:00:00","AG",5,272,202,0.3,"A","F","Y",0,4,,"First spent female observed."
"2010-11-09 00:00:00","AG",6,231,116,1.5,"I","M","Y",0,2,,"Pinnochio nosed"
"2010-11-09 00:00:00","AG",7,256,183,25.5,"B","F","Y",0,3,,"Fully skeined eggs still"
"2010-11-09 00:00:00","AG",8,254,156,0.5,"I","M","Y",0,3,,
"2010-11-09 00:00:00","AG",9,260,175,23.6,"B","F","Y",0,3,,"Mostly skeined, some eggs loose"
"2010-11-20 00:00:00","AG",1,320,429,83,"B","F","Y",0,7,,
"2010-11-20 00:00:00","AG",2,307,254,3,"A","F","Y",0,6,,
"2010-11-20 00:00:00","AG",3,291,233,3.2,"R","M","Y",1.9,5,,
"2010-11-20 00:00:00","AG",4,230,119,0.1,"I","M","Y",0,3,,
"2010-11-20 00:00:00","AG",5,255,161,0.4,"I","F","Y",0,3,,
"2010-11-20 00:00:00","AG",6,249,150,2,"A","F","Y",0,4,,
"2010-11-20 00:00:00","AG",7,302,256,3,"A","F","Y",0.1,4,,
"2010-11-20 00:00:00","AG",8,294,248,3.2,"A","F","Y",5.4,5,,
"2010-11-20 00:00:00","AG",9,246,162,5.2,"R","M","Y",0,3,,
