"RiverKm","Bank","DateTimeDeploy","DateTimeRetrieve","WatTempSet","MeanVelSet","SubstVelSet","DepthSet","Dom_Subst","No_Eggs","DepthPull","MeanVelPull","SubstVelPull","Comments","WatTempPull"
0.5,"Center","2010-10-30 10:45:00","2010-11-09 11:24:00",10.8,0.64,0.45,0.7,"C",0,1.1,0.67,0.53,,10.5
0.5,"Center","2010-11-09 11:27:00","2010-11-20 12:08:00",10.5,0.67,0.53,1.1,,0,0.7,0.58,0.36,,8
0.5,"Center","2010-11-20 12:14:00","2010-11-30 12:36:00",8,0.58,0.36,0.7,,0,0.7,0.65,0.42,,5.6
0.5,"Center","2010-11-30 12:42:00","2010-12-06 12:45:00",5.6,0.65,0.42,0.7,,0,0.8,0.72,0.49,,5.3
0.5,"Center","2010-12-06 12:49:00","2010-12-14 09:39:00",5.3,0.72,0.49,0.8,,0,0.8,0.82,0.72,,4.4
0.5,"Center","2010-12-14 09:59:00","2010-12-22 10:00:00",4.4,0.82,0.72,0.8,,0,1.4,1.02,0.67,,5.1
0.5,"Center","2010-12-22 10:00:00","2010-12-28 12:10:00",5.1,1.02,0.67,1.4,,0,1.8,2,,"Velocity meter not functioning; estimated mean column velocity",4.8
0.8,"Right","2010-10-30 10:56:00","2010-11-09 11:10:00",10.9,0.79,0.95,2.1,"G",0,1.75,0.87,0.85,,10.5
0.8,"Right","2010-11-09 11:20:00","2010-11-20 11:58:00",10.5,0.87,0.85,1.75,,0,1.5,0.92,0.43,,8.1
0.8,"Right","2010-11-20 12:04:00","2010-11-30 14:13:00",8.1,0.92,0.43,1.5,,0,1.4,0.8,0.64,"School of ~40 MW observed at mat set",6
0.8,"Right","2010-11-30 14:17:00","2010-12-06 12:35:00",6,0.8,0.64,1.4,,0,1.7,1.12,1.12,,5
0.8,"Right","2010-12-06 12:41:00","2010-12-14 09:50:00",5,1.12,1.12,1.7,,1,1.7,0.79,0.63,,4.5
0.8,"Right","2010-12-14 10:01:00","2010-12-22 10:14:00",4.5,0.79,0.63,1.7,,0,2.5,1.19,0.84,,5
0.8,"Right","2010-12-22 10:18:00","2010-12-28 11:52:00",5,1.19,0.84,2.5,,0,3,1.5,,"Velocity meter not functioning; estimated mean column velocity",4.8
1.5,"Left","2010-10-30 11:03:00","2010-11-09 10:57:00",10.8,1.03,1.1,0.6,"C",0,0.55,1.09,0.98,,10.3
1.5,"Left","2010-11-09 10:59:00","2010-11-20 11:49:00",10.8,1.09,0.98,0.55,,0,0.6,0.85,0.76,,7.6
1.5,"Left","2010-11-20 11:54:00","2010-11-30 14:06:00",7.6,0.85,0.76,0.6,,0,0.6,0.99,0.48,,6
1.5,"Left","2010-11-30 14:10:00","2010-12-06 12:29:00",6,0.99,0.48,0.6,,0,0.5,0.97,0.85,,5
1.5,"Left","2010-12-06 12:33:00","2010-12-14 11:28:00",5,0.97,0.85,0.5,,0,0.8,1.05,1.02,,4.6
1.5,"Left","2010-12-14 11:30:00","2010-12-22 12:44:00",4.6,1.05,1.02,0.8,,0,1,2.06,1.05,,5
1.5,"Left","2010-12-22 12:47:00","2010-12-28 11:21:00",5,2.06,1.05,1,,0,1.3,2.5,,"Velocity meter not functioning; estimated mean column velocity",4.3
2,"Left","2010-10-30 11:09:00","2010-11-09 10:44:00",10.8,1.34,1.22,1,"C",0,1.2,1.31,1.03,,10.3
2,"Left","2010-11-09 10:49:00","2010-11-20 11:38:00",10.3,1.31,1.03,1.2,,0,1,1.18,0.92,,7.1
2,"Left","2010-11-20 11:46:00","2010-11-30 13:59:00",7.1,1.18,0.92,1,,0,1.3,0.93,0.67,,6
2,"Left","2010-11-30 14:02:00","2010-12-06 12:20:00",6,0.93,0.67,1.3,,0,0.9,1.24,0.8,,5
2,"Left","2010-12-06 12:26:00","2010-12-14 11:18:00",5,1.24,0.8,0.9,,0,1.4,1.06,0.87,,4.5
