"NSDate","InitialStartTime","StartTime","EndTime","NumFish","Comments","InitialStartTimeC","StartTimeC","EndTimeC"
"2011-10-13 00:00:00","1899-12-30 20:00:49","1899-12-30 20:00:49","1899-12-30 20:08:15",2,,"1899-12-30 20:00:49","1899-12-30 20:00:49","1899-12-30 20:08:15"
"2011-10-13 00:00:00","1899-12-30 20:00:49","1899-12-30 20:08:15","1899-12-30 20:13:59",5,,"1899-12-30 20:00:49","1899-12-30 20:08:15","1899-12-30 20:13:59"
"2011-10-13 00:00:00","1899-12-30 20:00:49","1899-12-30 20:14:25","1899-12-30 20:19:41",11,,"1899-12-30 20:00:49","1899-12-30 20:14:25","1899-12-30 20:19:41"
"2011-10-13 00:00:00","1899-12-30 20:00:49","1899-12-30 20:20:00","1899-12-30 20:25:23",9,,"1899-12-30 20:00:49","1899-12-30 20:20:00","1899-12-30 20:25:23"
"2011-10-13 00:00:00","1899-12-30 20:00:49","1899-12-30 20:25:45","1899-12-30 20:31:11",14,,"1899-12-30 20:00:49","1899-12-30 20:25:45","1899-12-30 20:31:11"
"2011-10-13 00:00:00","1899-12-30 20:00:49","1899-12-30 20:31:30","1899-12-30 20:37:45",31,,"1899-12-30 20:00:49","1899-12-30 20:31:30","1899-12-30 20:37:45"
"2011-10-13 00:00:00","1899-12-30 20:00:49","1899-12-30 20:38:00","1899-12-30 20:43:59",18,,"1899-12-30 20:00:49","1899-12-30 20:38:00","1899-12-30 20:43:59"
"2011-10-13 00:00:00","1899-12-30 20:00:49","1899-12-30 20:44:06","1899-12-30 20:52:46",22,,"1899-12-30 20:00:49","1899-12-30 20:44:06","1899-12-30 20:52:46"
"2011-10-13 00:00:00","1899-12-30 20:00:49","1899-12-30 20:53:13","1899-12-30 21:00:17",28,,"1899-12-30 20:00:49","1899-12-30 20:53:13","1899-12-30 21:00:17"
"2011-10-13 00:00:00","1899-12-30 20:00:49","1899-12-30 21:03:14","1899-12-30 21:09:59",5,,"1899-12-30 20:00:49","1899-12-30 21:03:14","1899-12-30 21:09:59"
"2011-10-13 00:00:00","1899-12-30 21:20:29","1899-12-30 21:20:29","1899-12-30 21:26:24",0,,"1899-12-30 21:20:29","1899-12-30 21:20:29","1899-12-30 21:26:24"
"2011-10-13 00:00:00","1899-12-30 21:20:29","1899-12-30 21:26:41","1899-12-30 21:32:59",6,,"1899-12-30 21:20:29","1899-12-30 21:26:41","1899-12-30 21:32:59"
"2011-10-13 00:00:00","1899-12-30 21:20:29","1899-12-30 21:33:20","1899-12-30 21:40:32",0,,"1899-12-30 21:20:29","1899-12-30 21:33:20","1899-12-30 21:40:32"
"2011-10-13 00:00:00","1899-12-30 21:20:29","1899-12-30 21:40:47","1899-12-30 21:47:02",1,,"1899-12-30 21:20:29","1899-12-30 21:40:47","1899-12-30 21:47:02"
"2011-10-13 00:00:00","1899-12-30 21:20:29","1899-12-30 21:47:19","1899-12-30 21:54:26",2,,"1899-12-30 21:20:29","1899-12-30 21:47:19","1899-12-30 21:54:26"
